k_paths,simulation,accuracy,total_samples,correct_samples,exec_samples,exec_correct,exec_rate,exec_acc,hit_samples,hit_rate,pruning_mode
1,0,0.8181818181818182,22,18,18,18,0.8181818181818182,1.0,18,0.8181818181818182,both
1,1,0.7727272727272727,22,17,19,17,0.8636363636363636,0.8947368421052632,17,0.7727272727272727,both
1,2,0.6818181818181818,22,15,17,15,0.7727272727272727,0.8823529411764706,15,0.6818181818181818,both
1,3,0.5909090909090909,22,13,13,13,0.5909090909090909,1.0,13,0.5909090909090909,both
1,4,0.7727272727272727,22,17,18,17,0.8181818181818182,0.9444444444444444,17,0.7727272727272727,both
1,5,0.6363636363636364,22,14,16,14,0.7272727272727273,0.875,14,0.6363636363636364,both
1,6,0.7727272727272727,22,17,18,17,0.8181818181818182,0.9444444444444444,17,0.7727272727272727,both
1,7,0.8181818181818182,22,18,18,18,0.8181818181818182,1.0,18,0.8181818181818182,both
1,8,0.5909090909090909,22,13,14,13,0.6363636363636364,0.9285714285714286,13,0.5909090909090909,both
1,9,0.7727272727272727,22,17,17,17,0.7727272727272727,1.0,17,0.7727272727272727,both
2,0,0.8181818181818182,22,18,18,18,0.8181818181818182,1.0,18,0.8181818181818182,both
2,1,0.7272727272727273,22,16,17,16,0.7727272727272727,0.9411764705882353,16,0.7272727272727273,both
2,2,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
2,3,0.8181818181818182,22,18,20,18,0.9090909090909091,0.9,18,0.8181818181818182,both
2,4,0.8636363636363636,22,19,20,19,0.9090909090909091,0.95,19,0.8636363636363636,both
2,5,0.8636363636363636,22,19,20,19,0.9090909090909091,0.95,19,0.8636363636363636,both
2,6,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
2,7,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
2,8,0.8181818181818182,22,18,19,18,0.8636363636363636,0.9473684210526315,18,0.8181818181818182,both
2,9,0.8636363636363636,22,19,19,19,0.8636363636363636,1.0,19,0.8636363636363636,both
3,0,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
3,1,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
3,2,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
3,3,0.8636363636363636,22,19,20,19,0.9090909090909091,0.95,19,0.8636363636363636,both
3,4,0.8636363636363636,22,19,21,19,0.9545454545454546,0.9047619047619048,19,0.8636363636363636,both
3,5,0.8181818181818182,22,18,19,18,0.8636363636363636,0.9473684210526315,18,0.8181818181818182,both
3,6,0.8181818181818182,22,18,20,18,0.9090909090909091,0.9,19,0.8636363636363636,both
3,7,0.8181818181818182,22,18,19,18,0.8636363636363636,0.9473684210526315,18,0.8181818181818182,both
3,8,0.8181818181818182,22,18,20,18,0.9090909090909091,0.9,19,0.8636363636363636,both
3,9,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
4,0,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
4,1,0.8636363636363636,22,19,20,19,0.9090909090909091,0.95,19,0.8636363636363636,both
4,2,0.7727272727272727,22,17,20,17,0.9090909090909091,0.85,18,0.8181818181818182,both
4,3,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
4,4,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
4,5,0.8636363636363636,22,19,21,19,0.9545454545454546,0.9047619047619048,20,0.9090909090909091,both
4,6,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
4,7,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
4,8,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
4,9,0.8636363636363636,22,19,21,19,0.9545454545454546,0.9047619047619048,20,0.9090909090909091,both
5,0,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
5,1,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
5,2,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
5,3,0.8636363636363636,22,19,20,19,0.9090909090909091,0.95,19,0.8636363636363636,both
5,4,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
5,5,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
5,6,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
5,7,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
5,8,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
5,9,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
6,0,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
6,1,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
6,2,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
6,3,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
6,4,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
6,5,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
6,6,0.8636363636363636,22,19,21,19,0.9545454545454546,0.9047619047619048,20,0.9090909090909091,both
6,7,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
6,8,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
6,9,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
7,0,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
7,1,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
7,2,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
7,3,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
7,4,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
7,5,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
7,6,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
7,7,0.8636363636363636,22,19,22,19,1.0,0.8636363636363636,20,0.9090909090909091,both
7,8,0.8636363636363636,22,19,21,19,0.9545454545454546,0.9047619047619048,19,0.8636363636363636,both
7,9,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
8,0,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
8,1,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
8,2,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
8,3,0.8636363636363636,22,19,22,19,1.0,0.8636363636363636,20,0.9090909090909091,both
8,4,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
8,5,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
8,6,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
8,7,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
8,8,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
8,9,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
9,0,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
9,1,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
9,2,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
9,3,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
9,4,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
9,5,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
9,6,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
9,7,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
9,8,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
9,9,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
10,0,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
10,1,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
10,2,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
10,3,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
10,4,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
10,5,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
10,6,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
10,7,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
10,8,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
10,9,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,20,0.9090909090909091,both
11,0,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
11,1,0.9090909090909091,22,20,22,20,1.0,0.9090909090909091,21,0.9545454545454546,both
11,2,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
11,3,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
11,4,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
11,5,0.9545454545454546,22,21,22,21,1.0,0.9545454545454546,21,0.9545454545454546,both
11,6,0.9090909090909091,22,20,21,20,0.9545454545454546,0.9523809523809523,20,0.9090909090909091,both
